from,to,common_neighbors,jaccard,adamic_adar,preferential_attachment,link,prediction,probability
186,1967,1.0,0.04,0.17054278655205474,120.0,1,0.0,"[0.5859893192114998,0.41401068078850023]"
189,552,0.0,0.0,0.0,240.0,1,0.0,"[0.6742728058149424,0.3257271941850576]"
197,5380,0.0,0.0,0.0,63.0,1,0.0,"[0.771693485009917,0.22830651499008303]"
201,3262,0.0,0.0,0.0,420.0,1,0.0,"[0.556986374633283,0.44301362536671696]"
203,4334,0.0,0.0,0.0,12.0,1,0.0,"[0.7956260797695797,0.20437392023042034]"
205,2441,0.0,0.0,0.0,48.0,1,0.0,"[0.7789316207709795,0.22106837922902045]"
208,5322,0.0,0.0,0.0,308.0,1,0.0,"[0.6316266729237382,0.3683733270762618]"
213,5434,0.0,0.0,0.0,32.0,1,0.0,"[0.7864694984521227,0.21353050154787734]"
217,4753,1.0,0.05555555555555555,0.2222316216158104,78.0,1,0.0,"[0.5048395582538531,0.49516044174614693]"
219,227,0.0,0.0,0.0,90.0,1,0.0,"[0.7582489329770155,0.24175106702298454]"
220,5161,0.0,0.0,0.0,18.0,1,0.0,"[0.7929101121458013,0.20708988785419868]"
237,2870,0.0,0.0,0.0,144.0,1,0.0,"[0.7297812256288633,0.2702187743711367]"
238,4844,0.0,0.0,0.0,99.0,1,0.0,"[0.7536493862873587,0.24635061371264133]"
243,4934,0.0,0.0,0.0,85.0,1,0.0,"[0.7607788266431447,0.23922117335685533]"
246,6424,0.0,0.0,0.0,104.0,1,0.0,"[0.7510687654857173,0.24893123451428267]"
247,2913,0.0,0.0,0.0,288.0,1,0.0,"[0.6444211454232314,0.35557885457676863]"
253,3420,0.0,0.0,0.0,66.0,1,0.0,"[0.7702260013508418,0.22977399864915815]"
253,5730,0.0,0.0,0.0,451.0,1,0.0,"[0.5357052059516827,0.4642947940483173]"
258,5010,0.0,0.0,0.0,330.0,1,0.0,"[0.6173363047079464,0.3826636952920536]"
275,253,0.0,0.0,0.0,297.0,1,0.0,"[0.638687882149281,0.36131211785071904]"
288,3438,0.0,0.0,0.0,42.0,1,0.0,"[0.7817804612034681,0.2182195387965319]"
289,3470,0.0,0.0,0.0,40.0,1,0.0,"[0.782724173304791,0.21727582669520895]"
291,416,0.0,0.0,0.0,96.0,1,0.0,"[0.7551890891360628,0.24481091086393725]"
292,1792,0.0,0.0,0.0,5.0,1,0.0,"[0.7987611418523651,0.20123885814763487]"
294,1406,0.0,0.0,0.0,20.0,1,0.0,"[0.7919988847588305,0.2080011152411695]"
316,943,0.0,0.0,0.0,60.0,1,0.0,"[0.7731543566905966,0.22684564330940338]"
319,6436,0.0,0.0,0.0,76.0,1,0.0,"[0.7652867172357362,0.23471328276426384]"
320,4501,0.0,0.0,0.0,55.0,1,0.0,"[0.7755744347748107,0.2244255652251893]"
320,4620,0.0,0.0,0.0,484.0,1,0.0,"[0.5129091415995383,0.48709085840046173]"
324,4693,0.0,0.0,0.0,35.0,1,0.0,"[0.785070538141551,0.21492946185844897]"
325,1963,0.0,0.0,0.0,140.0,1,0.0,"[0.7319607868010749,0.2680392131989251]"
334,6317,0.0,0.0,0.0,6.0,1,0.0,"[0.7983154879139381,0.20168451208606186]"
343,426,0.0,0.0,0.0,66.0,1,0.0,"[0.7702260013508418,0.22977399864915815]"
344,2269,0.0,0.0,0.0,24.0,1,0.0,"[0.7901675703739295,0.20983242962607052]"
352,1397,0.0,0.0,0.0,88.0,1,0.0,"[0.7592630727648508,0.24073692723514917]"
352,3645,0.0,0.0,0.0,160.0,1,0.0,"[0.7209522191801523,0.2790477808198477]"
356,3047,0.0,0.0,0.0,297.0,1,0.0,"[0.638687882149281,0.36131211785071904]"
359,931,0.0,0.0,0.0,28.0,1,0.0,"[0.7883244417539628,0.21167555824603723]"
370,1546,0.0,0.0,0.0,441.0,1,0.0,"[0.5425881186118553,0.4574118813881447]"
370,1902,0.0,0.0,0.0,252.0,1,0.0,"[0.6669299730158798,0.33307002698412025]"
377,4843,0.0,0.0,0.0,184.0,1,0.0,"[0.7073825041915307,0.2926174958084693]"
392,4658,1.0,0.1,0.17373953920997645,24.0,1,0.0,"[0.69246731408751,0.30753268591248994]"
396,3962,1.0,0.03125,0.19001688568106462,116.0,1,0.0,"[0.5337425606747718,0.46625743932522823]"
397,6869,0.0,0.0,0.0,72.0,1,0.0,"[0.7672712227268685,0.23272877727313146]"
400,5049,0.0,0.0,0.0,63.0,1,0.0,"[0.771693485009917,0.22830651499008303]"
408,4329,0.0,0.0,0.0,289.0,1,0.0,"[0.6437861232537092,0.3562138767462908]"
409,54,0.0,0.0,0.0,22.0,1,0.0,"[0.7910847042615426,0.20891529573845735]"
409,1076,0.0,0.0,0.0,121.0,1,0.0,"[0.7421603182037287,0.25783968179627126]"
427,2306,0.0,0.0,0.0,6.0,1,0.0,"[0.7983154879139381,0.20168451208606186]"
428,2899,0.0,0.0,0.0,378.0,1,0.0,"[0.5854745302310004,0.4145254697689996]"
430,3510,0.0,0.0,0.0,360.0,1,0.0,"[0.597522247325168,0.402477752674832]"
446,2674,0.0,0.0,0.0,36.0,1,0.0,"[0.7846027414757549,0.21539725852424507]"
448,612,0.0,0.0,0.0,288.0,1,0.0,"[0.6444211454232314,0.35557885457676863]"
451,2876,0.0,0.0,0.0,51.0,1,0.0,"[0.7774972471789204,0.22250275282107956]"
458,2632,0.0,0.0,0.0,441.0,1,0.0,"[0.5425881186118553,0.4574118813881447]"
459,4656,0.0,0.0,0.0,48.0,1,0.0,"[0.7789316207709795,0.22106837922902045]"
465,1545,0.0,0.0,0.0,32.0,1,0.0,"[0.7864694984521227,0.21353050154787734]"
466,1163,0.0,0.0,0.0,492.0,1,0.0,"[0.5073710955703472,0.4926289044296528]"
469,5172,0.0,0.0,0.0,35.0,1,0.0,"[0.785070538141551,0.21492946185844897]"
484,1784,0.0,0.0,0.0,21.0,1,0.0,"[0.7915421636685589,0.2084578363314411]"
485,225,0.0,0.0,0.0,97.0,1,0.0,"[0.7546765783721541,0.24532342162784593]"
485,2850,0.0,0.0,0.0,291.0,1,0.0,"[0.642514562514021,0.35748543748597905]"
498,1332,1.0,0.041666666666666664,0.152948702070391,126.0,1,0.0,"[0.624497594684815,0.375502405315185]"
502,5490,0.0,0.0,0.0,190.0,1,0.0,"[0.7039302317364765,0.2960697682635235]"
507,3816,0.0,0.0,0.0,53.0,1,0.0,"[0.7765373139648891,0.22346268603511088]"
511,1638,0.0,0.0,0.0,126.0,1,0.0,"[0.739500944724749,0.26049905527525097]"
530,3302,0.0,0.0,0.0,310.0,1,0.0,"[0.6303366304084045,0.3696633695915955]"
530,4755,0.0,0.0,0.0,240.0,1,0.0,"[0.6742728058149424,0.3257271941850576]"
530,5860,0.0,0.0,0.0,180.0,1,0.0,"[0.7096708570258542,0.2903291429741458]"
532,3604,0.0,0.0,0.0,38.0,1,0.0,"[0.7836649335765787,0.21633506642342126]"
546,1490,0.0,0.0,0.0,125.0,1,0.0,"[0.7400342381588524,0.2599657618411476]"
553,5760,0.0,0.0,0.0,378.0,1,0.0,"[0.5854745302310004,0.4145254697689996]"
554,802,0.0,0.0,0.0,14.0,1,0.0,"[0.7947237091509788,0.20527629084902121]"
559,6855,0.0,0.0,0.0,30.0,1,0.0,"[0.7873984469096164,0.21260155309038364]"
567,942,0.0,0.0,0.0,169.0,1,0.0,"[0.7159089327229243,0.28409106727707567]"
569,676,0.0,0.0,0.0,299.0,1,0.0,"[0.6374083724214265,0.36259162757857355]"
571,6373,0.0,0.0,0.0,8.0,1,0.0,"[0.7974219683914529,0.20257803160854715]"
577,6710,0.0,0.0,0.0,20.0,1,0.0,"[0.7919988847588305,0.2080011152411695]"
587,4640,0.0,0.0,0.0,180.0,1,0.0,"[0.7096708570258542,0.2903291429741458]"
591,5606,0.0,0.0,0.0,21.0,1,0.0,"[0.7915421636685589,0.2084578363314411]"
608,5763,0.0,0.0,0.0,75.0,1,0.0,"[0.7657839413622198,0.23421605863778017]"
615,5287,1.0,0.07142857142857142,0.15199298032191702,44.0,1,0.0,"[0.7024500958730485,0.2975499041269515]"
621,4638,0.0,0.0,0.0,36.0,1,0.0,"[0.7846027414757549,0.21539725852424507]"
621,4968,0.0,0.0,0.0,84.0,1,0.0,"[0.7612826215853066,0.23871737841469343]"
628,3141,0.0,0.0,0.0,15.0,1,0.0,"[0.7942714169746994,0.20572858302530062]"
640,1621,0.0,0.0,0.0,207.0,1,0.0,"[0.6940220891313185,0.30597791086868154]"
640,4297,0.0,0.0,0.0,299.0,1,0.0,"[0.6374083724214265,0.36259162757857355]"
640,5145,0.0,0.0,0.0,345.0,1,0.0,"[0.6074735127767148,0.3925264872232852]"
656,5600,0.0,0.0,0.0,42.0,1,0.0,"[0.7817804612034681,0.2182195387965319]"
665,2027,0.0,0.0,0.0,320.0,1,0.0,"[0.6238587689976607,0.3761412310023393]"
665,3156,0.0,0.0,0.0,128.0,1,0.0,"[0.7384322341665092,0.26156776583349084]"
676,6533,0.0,0.0,0.0,437.0,1,0.0,"[0.5453368863372408,0.45466311366275924]"
677,4469,0.0,0.0,0.0,36.0,1,0.0,"[0.7846027414757549,0.21539725852424507]"
680,5361,0.0,0.0,0.0,27.0,1,0.0,"[0.7887863315426353,0.21121366845736467]"
710,69,0.0,0.0,0.0,255.0,1,0.0,"[0.6650813552646105,0.33491864473538946]"
713,1548,0.0,0.0,0.0,32.0,1,0.0,"[0.7864694984521227,0.21353050154787734]"
719,1617,0.0,0.0,0.0,50.0,1,0.0,"[0.7779761086767486,0.2220238913232514]"
726,2113,0.0,0.0,0.0,33.0,1,0.0,"[0.7860039166684527,0.2139960833315473]"
733,2207,1.0,0.034482758620689655,0.16849500042276702,125.0,1,0.0,"[0.5823478389347744,0.4176521610652256]"
745,659,0.0,0.0,0.0,96.0,1,0.0,"[0.7551890891360628,0.24481091086393725]"
745,6203,0.0,0.0,0.0,216.0,1,0.0,"[0.6887022456305282,0.3112977543694718]"
758,4716,0.0,0.0,0.0,9.0,1,0.0,"[0.7969741025855446,0.20302589741445543]"
759,3549,0.0,0.0,0.0,285.0,1,0.0,"[0.6463231571982732,0.35367684280172684]"
764,2822,0.0,0.0,0.0,231.0,1,0.0,"[0.6797245636729481,0.3202754363270519]"
790,3392,0.0,0.0,0.0,161.0,1,0.0,"[0.7203945709171609,0.27960542908283914]"
807,3719,0.0,0.0,0.0,248.0,1,0.0,"[0.669386821861272,0.33061317813872804]"
815,2227,0.0,0.0,0.0,39.0,1,0.0,"[0.7831949224555229,0.2168050775444771]"
820,1896,0.0,0.0,0.0,120.0,1,0.0,"[0.7426900617078259,0.2573099382921741]"
855,956,0.0,0.0,0.0,10.0,1,0.0,"[0.7965254992774643,0.2034745007225357]"
862,4376,0.0,0.0,0.0,8.0,1,0.0,"[0.7974219683914529,0.20257803160854715]"
863,3319,0.0,0.0,0.0,450.0,1,0.0,"[0.5363941534390583,0.4636058465609417]"
874,5281,1.0,0.047619047619047616,0.1805923124338364,85.0,1,0.0,"[0.5927967573462213,0.4072032426537787]"
874,5341,0.0,0.0,0.0,136.0,1,0.0,"[0.7341291725488653,0.26587082745113466]"
877,1331,0.0,0.0,0.0,412.0,1,0.0,"[0.5624476671012322,0.4375523328987678]"
887,3349,0.0,0.0,0.0,65.0,1,0.0,"[0.7707158968731409,0.2292841031268591]"
888,4382,0.0,0.0,0.0,121.0,1,0.0,"[0.7421603182037287,0.25783968179627126]"
901,3134,0.0,0.0,0.0,38.0,1,0.0,"[0.7836649335765787,0.21633506642342126]"
920,3427,0.0,0.0,0.0,40.0,1,0.0,"[0.782724173304791,0.21727582669520895]"
929,1404,0.0,0.0,0.0,42.0,1,0.0,"[0.7817804612034681,0.2182195387965319]"
932,3284,0.0,0.0,0.0,166.0,1,0.0,"[0.7175961275017388,0.28240387249826115]"
944,7028,0.0,0.0,0.0,6.0,1,0.0,"[0.7983154879139381,0.20168451208606186]"
946,5188,0.0,0.0,0.0,99.0,1,0.0,"[0.7536493862873587,0.24635061371264133]"
949,4359,0.0,0.0,0.0,32.0,1,0.0,"[0.7864694984521227,0.21353050154787734]"
971,3640,0.0,0.0,0.0,72.0,1,0.0,"[0.7672712227268685,0.23272877727313146]"
986,1899,0.0,0.0,0.0,364.0,1,0.0,"[0.5948545857401719,0.4051454142598281]"
986,3398,0.0,0.0,0.0,26.0,1,0.0,"[0.7892474829051191,0.21075251709488085]"
986,5262,0.0,0.0,0.0,286.0,1,0.0,"[0.645689664214671,0.354310335785329]"
987,1827,0.0,0.0,0.0,102.0,1,0.0,"[0.7521031784642399,0.2478968215357601]"
987,2090,0.0,0.0,0.0,272.0,1,0.0,"[0.6545112016129826,0.3454887983870174]"
987,3088,0.0,0.0,0.0,306.0,1,0.0,"[0.6329148352571142,0.3670851647428858]"
1026,1587,0.0,0.0,0.0,112.0,1,0.0,"[0.7469023356714662,0.25309766432853376]"
1041,4714,0.0,0.0,0.0,448.0,1,0.0,"[0.5377716291030241,0.4622283708969759]"
1049,6856,0.0,0.0,0.0,60.0,1,0.0,"[0.7731543566905966,0.22684564330940338]"
1063,2391,0.0,0.0,0.0,120.0,1,0.0,"[0.7426900617078259,0.2573099382921741]"
1063,3951,0.0,0.0,0.0,20.0,1,0.0,"[0.7919988847588305,0.2080011152411695]"
1063,5247,0.0,0.0,0.0,30.0,1,0.0,"[0.7873984469096164,0.21260155309038364]"
1082,5660,0.0,0.0,0.0,125.0,1,0.0,"[0.7400342381588524,0.2599657618411476]"
1083,998,0.0,0.0,0.0,24.0,1,0.0,"[0.7901675703739295,0.20983242962607052]"
1083,4153,0.0,0.0,0.0,120.0,1,0.0,"[0.7426900617078259,0.2573099382921741]"
1084,2359,0.0,0.0,0.0,56.0,1,0.0,"[0.7750918908298627,0.22490810917013726]"
1086,342,0.0,0.0,0.0,160.0,1,0.0,"[0.7209522191801523,0.2790477808198477]"
1089,4617,0.0,0.0,0.0,432.0,1,0.0,"[0.5487689449746619,0.4512310550253381]"
1099,6308,0.0,0.0,0.0,5.0,1,0.0,"[0.7987611418523651,0.20123885814763487]"
1104,6972,0.0,0.0,0.0,168.0,1,0.0,"[0.7164720062062849,0.28352799379371507]"
1108,2153,0.0,0.0,0.0,300.0,1,0.0,"[0.6367678854888699,0.36323211451113013]"
1114,4862,0.0,0.0,0.0,6.0,1,0.0,"[0.7983154879139381,0.20168451208606186]"
1115,4728,0.0,0.0,0.0,36.0,1,0.0,"[0.7846027414757549,0.21539725852424507]"
1126,1275,0.0,0.0,0.0,348.0,1,0.0,"[0.6054901013585585,0.3945098986414415]"
1133,3585,0.0,0.0,0.0,230.0,1,0.0,"[0.6803273311631558,0.3196726688368442]"
1142,4954,0.0,0.0,0.0,192.0,1,0.0,"[0.7027742440674157,0.29722575593258427]"
1142,5827,0.0,0.0,0.0,480.0,1,0.0,"[0.5156770615105738,0.4843229384894262]"
1144,2077,0.0,0.0,0.0,114.0,1,0.0,"[0.745853554210107,0.254146445789893]"
1144,3061,0.0,0.0,0.0,57.0,1,0.0,"[0.7746086108725148,0.22539138912748524]"
1147,5927,0.0,0.0,0.0,338.0,1,0.0,"[0.6120876052449785,0.3879123947550215]"
1149,1200,0.0,0.0,0.0,114.0,1,0.0,"[0.745853554210107,0.254146445789893]"
1150,4418,1.0,0.058823529411764705,0.16281242427639875,45.0,1,0.0,"[0.668749254424665,0.33125074557533496]"
1158,2594,0.0,0.0,0.0,215.0,1,0.0,"[0.6892958401961987,0.3107041598038013]"
1158,3166,0.0,0.0,0.0,473.0,1,0.0,"[0.5205185059692791,0.47948149403072093]"
1158,4403,0.0,0.0,0.0,172.0,1,0.0,"[0.7142156723378223,0.28578432766217765]"
1158,6537,0.0,0.0,0.0,258.0,1,0.0,"[0.6632276582609937,0.3367723417390063]"
1158,6939,0.0,0.0,0.0,258.0,1,0.0,"[0.6632276582609937,0.3367723417390063]"
1160,2994,1.0,0.16666666666666666,0.267546386419054,12.0,1,0.0,"[0.5462237202515132,0.4537762797484868]"
1163,5812,0.0,0.0,0.0,132.0,1,0.0,"[0.7362863365087433,0.2637136634912567]"
1164,6958,0.0,0.0,0.0,15.0,1,0.0,"[0.7942714169746994,0.20572858302530062]"
1198,4503,0.0,0.0,0.0,40.0,1,0.0,"[0.782724173304791,0.21727582669520895]"
1208,2945,0.0,0.0,0.0,90.0,1,0.0,"[0.7582489329770155,0.24175106702298454]"
1221,6169,0.0,0.0,0.0,165.0,1,0.0,"[0.7181571734386408,0.28184282656135917]"
1229,4985,0.0,0.0,0.0,399.0,1,0.0,"[0.5712895087643152,0.42871049123568483]"
1247,2934,0.0,0.0,0.0,264.0,1,0.0,"[0.6595052003353014,0.34049479966469864]"
1261,1107,0.0,0.0,0.0,21.0,1,0.0,"[0.7915421636685589,0.2084578363314411]"
1280,3784,0.0,0.0,0.0,215.0,1,0.0,"[0.6892958401961987,0.3107041598038013]"
1284,4604,0.0,0.0,0.0,7.0,1,0.0,"[0.7978690967981577,0.20213090320184235]"
1306,6091,0.0,0.0,0.0,175.0,1,0.0,"[0.7125163723655932,0.2874836276344068]"
1308,4035,0.0,0.0,0.0,234.0,1,0.0,"[0.6779126638934985,0.32208733610650153]"
1308,5177,0.0,0.0,0.0,54.0,1,0.0,"[0.7760562425401666,0.22394375745983341]"
1321,1791,0.0,0.0,0.0,39.0,1,0.0,"[0.7831949224555229,0.2168050775444771]"
1328,1143,0.0,0.0,0.0,288.0,1,0.0,"[0.6444211454232314,0.35557885457676863]"
1336,1761,0.0,0.0,0.0,98.0,1,0.0,"[0.7541633439427088,0.24583665605729121]"
1339,5799,0.0,0.0,0.0,4.0,1,0.0,"[0.7992060587322827,0.20079394126771732]"
1348,1172,0.0,0.0,0.0,8.0,1,0.0,"[0.7974219683914529,0.20257803160854715]"
1351,812,0.0,0.0,0.0,357.0,1,0.0,"[0.5995192219643323,0.40048077803566773]"
1352,1855,0.0,0.0,0.0,160.0,1,0.0,"[0.7209522191801523,0.2790477808198477]"
1376,3068,1.0,0.047619047619047616,0.20851619571212315,117.0,1,0.0,"[0.5036679611862702,0.4963320388137298]"
1376,5558,0.0,0.0,0.0,26.0,1,0.0,"[0.7892474829051191,0.21075251709488085]"
1382,2915,0.0,0.0,0.0,84.0,1,0.0,"[0.7612826215853066,0.23871737841469343]"
1382,4996,0.0,0.0,0.0,168.0,1,0.0,"[0.7164720062062849,0.28352799379371507]"
1414,3558,0.0,0.0,0.0,452.0,1,0.0,"[0.535016122163003,0.464983877836997]"
1414,4222,0.0,0.0,0.0,452.0,1,0.0,"[0.535016122163003,0.464983877836997]"
1414,6158,0.0,0.0,0.0,113.0,1,0.0,"[0.7463783028450396,0.2536216971549604]"
1427,3882,0.0,0.0,0.0,28.0,1,0.0,"[0.7883244417539628,0.21167555824603723]"
1441,4724,0.0,0.0,0.0,10.0,1,0.0,"[0.7965254992774643,0.2034745007225357]"
1442,1828,0.0,0.0,0.0,168.0,1,0.0,"[0.7164720062062849,0.28352799379371507]"
1442,2173,0.0,0.0,0.0,448.0,1,0.0,"[0.5377716291030241,0.4622283708969759]"
1442,3812,0.0,0.0,0.0,280.0,1,0.0,"[0.6494828858459597,0.3505171141540403]"
1448,2977,0.0,0.0,0.0,132.0,1,0.0,"[0.7362863365087433,0.2637136634912567]"
1448,3877,0.0,0.0,0.0,24.0,1,0.0,"[0.7901675703739295,0.20983242962607052]"
1448,4826,0.0,0.0,0.0,120.0,1,0.0,"[0.7426900617078259,0.2573099382921741]"
1473,3175,0.0,0.0,0.0,418.0,1,0.0,"[0.5583530429138792,0.4416469570861208]"
1475,1599,0.0,0.0,0.0,272.0,1,0.0,"[0.6545112016129826,0.3454887983870174]"
1482,1424,0.0,0.0,0.0,396.0,1,0.0,"[0.5733236989927569,0.4266763010072431]"
1482,3511,0.0,0.0,0.0,132.0,1,0.0,"[0.7362863365087433,0.2637136634912567]"
1483,2269,0.0,0.0,0.0,252.0,1,0.0,"[0.6669299730158798,0.33307002698412025]"
1492,6996,0.0,0.0,0.0,20.0,1,0.0,"[0.7919988847588305,0.2080011152411695]"
1495,4267,0.0,0.0,0.0,221.0,1,0.0,"[0.6857249853377255,0.3142750146622745]"
1514,4063,0.0,0.0,0.0,10.0,1,0.0,"[0.7965254992774643,0.2034745007225357]"
1515,484,0.0,0.0,0.0,98.0,1,0.0,"[0.7541633439427088,0.24583665605729121]"
1535,4251,0.0,0.0,0.0,168.0,1,0.0,"[0.7164720062062849,0.28352799379371507]"
1542,2145,0.0,0.0,0.0,99.0,1,0.0,"[0.7536493862873587,0.24635061371264133]"
1547,5348,0.0,0.0,0.0,60.0,1,0.0,"[0.7731543566905966,0.22684564330940338]"
1555,3647,0.0,0.0,0.0,72.0,1,0.0,"[0.7672712227268685,0.23272877727313146]"
1558,1758,0.0,0.0,0.0,15.0,1,0.0,"[0.7942714169746994,0.20572858302530062]"
1560,3162,0.0,0.0,0.0,128.0,1,0.0,"[0.7384322341665092,0.26156776583349084]"
1565,1096,0.0,0.0,0.0,21.0,1,0.0,"[0.7915421636685589,0.2084578363314411]"
1588,3649,0.0,0.0,0.0,45.0,1,0.0,"[0.7803593597913008,0.21964064020869922]"
1591,3252,0.0,0.0,0.0,124.0,1,0.0,"[0.740566822847748,0.259433177152252]"
1593,6681,0.0,0.0,0.0,112.0,1,0.0,"[0.7469023356714662,0.25309766432853376]"
1594,5578,0.0,0.0,0.0,10.0,1,0.0,"[0.7965254992774643,0.2034745007225357]"
1598,2868,0.0,0.0,0.0,334.0,1,0.0,"[0.6147152908397207,0.38528470916027935]"
1598,3946,0.0,0.0,0.0,501.0,1,0.0,"[0.5011386985249502,0.4988613014750498]"
1598,4095,0.0,0.0,0.0,167.0,1,0.0,"[0.7170344047796618,0.28296559522033815]"
1598,4724,0.0,0.0,0.0,334.0,1,0.0,"[0.6147152908397207,0.38528470916027935]"
1598,6220,0.0,0.0,0.0,334.0,1,0.0,"[0.6147152908397207,0.38528470916027935]"
1622,3782,0.0,0.0,0.0,24.0,1,0.0,"[0.7901675703739295,0.20983242962607052]"
1639,4526,0.0,0.0,0.0,14.0,1,0.0,"[0.7947237091509788,0.20527629084902121]"
1639,6632,0.0,0.0,0.0,252.0,1,0.0,"[0.6669299730158798,0.33307002698412025]"
1645,2365,0.0,0.0,0.0,54.0,1,0.0,"[0.7760562425401666,0.22394375745983341]"
1654,6627,0.0,0.0,0.0,36.0,1,0.0,"[0.7846027414757549,0.21539725852424507]"
1657,2238,0.0,0.0,0.0,6.0,1,0.0,"[0.7983154879139381,0.20168451208606186]"
1668,6925,1.0,0.025,0.17838660519470398,180.0,1,0.0,"[0.5118371780157895,0.48816282198421046]"
1673,1438,0.0,0.0,0.0,96.0,1,0.0,"[0.7551890891360628,0.24481091086393725]"
1673,2870,0.0,0.0,0.0,144.0,1,0.0,"[0.7297812256288633,0.2702187743711367]"
1683,6887,0.0,0.0,0.0,24.0,1,0.0,"[0.7901675703739295,0.20983242962607052]"
1688,6963,1.0,0.07692307692307693,0.21714724095162588,33.0,1,0.0,"[0.5683966830636645,0.43160331693633547]"
1691,6475,0.0,0.0,0.0,416.0,1,0.0,"[0.5597188277997721,0.4402811722002279]"
