from,to,common_neighbors,jaccard_coefficient,adamic_adar,preferential_attachment,link,prediction,probability
361,5789,0,0.0,0.0,110,1,0,0.3511641
6419,974,0,0.0,0.0,48,1,0,0.18633185
5304,761,0,0.0,0.0,42,1,0,0.16027392
2369,4990,0,0.0,0.0,12,1,0,0.07129103
3017,519,0,0.0,0.0,44,1,0,0.16861594
2728,433,0,0.0,0.0,160,1,0,0.43935037
6457,1755,0,0.0,0.0,140,1,0,0.40849587
1538,6351,0,0.0,0.0,9,1,0,0.06549096
5512,723,0,0.0,0.0,20,1,0,0.08914354
3852,3098,0,0.0,0.0,105,1,0,0.33940595
1535,1327,0,0.0,0.0,147,1,0,0.42124537
976,6470,0,0.0,0.0,12,1,0,0.07129103
1533,439,0,0.0,0.0,6,1,0,0.06013226
869,5863,0,0.0,0.0,136,1,0,0.40120384
53,5576,0,0.0,0.0,189,1,0,0.47408688
364,6627,0,0.0,0.0,36,1,0,0.13724567
1950,1464,0,0.0,0.0,120,1,0,0.37239057
955,2065,1,0.125,0.23868315209103041,20,1,0,0.3675493
156,6346,0,0.0,0.0,6,1,0,0.06013226
3633,2710,0,0.0,0.0,128,1,0,0.38669804
1956,2712,0,0.0,0.0,60,1,0,0.21918955
1846,5517,0,0.0,0.0,52,1,0,0.19909246
997,5917,0,0.0,0.0,12,1,0,0.07129103
3438,2462,0,0.0,0.0,56,1,0,0.2092662
1745,3395,0,0.0,0.0,6,1,0,0.06013226
5306,3563,0,0.0,0.0,16,1,0,0.07976234
4029,6201,0,0.0,0.0,28,1,0,0.11093289
1244,1368,1,0.25,0.16849500042276702,6,1,0,0.058063257
4409,2173,0,0.0,0.0,32,1,0,0.12348837
4457,4694,0,0.0,0.0,80,1,0,0.27382088
4673,4665,0,0.0,0.0,140,1,0,0.40849587
1692,3993,0,0.0,0.0,40,1,0,0.15226923
4140,5701,0,0.0,0.0,91,1,0,0.30170432
5448,6411,0,0.0,0.0,108,1,0,0.34680948
5541,6518,0,0.0,0.0,42,1,0,0.16027392
2107,3903,0,0.0,0.0,56,1,0,0.2092662
4711,1559,0,0.0,0.0,81,1,0,0.2762886
5872,7029,0,0.0,0.0,196,1,0,0.4825223
6474,3866,0,0.0,0.0,129,1,0,0.38850084
2922,5559,0,0.0,0.0,46,1,0,0.17730026
820,1896,0,0.0,0.0,120,1,0,0.37239057
162,511,0,0.0,0.0,14,1,0,0.075417444
2340,2978,0,0.0,0.0,168,1,0,0.4488883
4342,1369,0,0.0,0.0,55,1,0,0.20683764
1166,5729,0,0.0,0.0,5,1,0,0.058439072
6222,1393,0,0.0,0.0,54,1,0,0.20442998
6111,1751,0,0.0,0.0,36,1,0,0.13724567
4368,6163,0,0.0,0.0,10,1,0,0.06737377
3011,1384,0,0.0,0.0,28,1,0,0.11093289
3021,6176,1,0.0625,0.16281242427639875,52,1,0,0.20926747
5657,4052,0,0.0,0.0,56,1,0,0.2092662
6783,6305,0,0.0,0.0,84,1,0,0.28377318
2882,443,0,0.0,0.0,44,1,0,0.16861594
1630,5333,0,0.0,0.0,66,1,0,0.23470043
1322,1259,0,0.0,0.0,36,1,0,0.13724567
6947,2150,0,0.0,0.0,192,1,0,0.4777005
5470,6914,0,0.0,0.0,162,1,0,0.4417309
3418,4775,0,0.0,0.0,92,1,0,0.30431786
3435,5604,0,0.0,0.0,18,1,0,0.0843346
1870,984,0,0.0,0.0,15,1,0,0.07756196
4945,6555,0,0.0,0.0,92,1,0,0.30431786
215,4769,0,0.0,0.0,9,1,0,0.06549096
6921,4726,0,0.0,0.0,148,1,0,0.4230757
6118,5294,0,0.0,0.0,50,1,0,0.19341487
3363,3162,0,0.0,0.0,144,1,0,0.4157673
5654,378,0,0.0,0.0,36,1,0,0.13724567
818,512,0,0.0,0.0,96,1,0,0.31489792
2314,2564,0,0.0,0.0,108,1,0,0.34680948
1632,4035,0,0.0,0.0,117,1,0,0.36659774
7022,2986,0,0.0,0.0,2,1,0,0.053624343
4660,5036,0,0.0,0.0,15,1,0,0.07756196
1536,2150,0,0.0,0.0,156,1,0,0.43459767
6727,6011,0,0.0,0.0,196,1,0,0.4825223
1859,2863,0,0.0,0.0,25,1,0,0.10226297
150,3197,0,0.0,0.0,92,1,0,0.30431786
248,4953,0,0.0,0.0,33,1,0,0.12681237
5079,5851,0,0.0,0.0,198,1,0,0.48493436
1008,499,0,0.0,0.0,17,1,0,0.082019486
5982,3366,0,0.0,0.0,26,1,0,0.105084054
6362,3629,0,0.0,0.0,77,1,0,0.26506236
1900,2409,0,0.0,0.0,144,1,0,0.4157673
322,4779,0,0.0,0.0,20,1,0,0.08914354
1551,6409,0,0.0,0.0,8,1,0,0.06365717
5,1,0,0.0,0.0,104,1,0,0.33663684
3749,6096,0,0.0,0.0,36,1,0,0.13724567
5775,5321,0,0.0,0.0,176,1,0,0.45846394
725,5335,0,0.0,0.0,24,1,0,0.09950896
1442,2223,0,0.0,0.0,168,1,0,0.4488883
5076,1284,0,0.0,0.0,21,1,0,0.09163984
4933,3070,0,0.0,0.0,95,1,0,0.31223434
5402,3529,0,0.0,0.0,152,1,0,0.4297416
564,2041,0,0.0,0.0,18,1,0,0.0843346
2184,5583,0,0.0,0.0,72,1,0,0.25095627
1063,5986,0,0.0,0.0,170,1,0,0.45127892
4494,2450,0,0.0,0.0,170,1,0,0.45127892
147,3932,0,0.0,0.0,86,1,0,0.2888305
2899,4736,0,0.0,0.0,81,1,0,0.2762886
4744,5497,0,0.0,0.0,161,1,0,0.44054025
403,4317,0,0.0,0.0,88,1,0,0.29394072
1298,6396,0,0.0,0.0,16,1,0,0.07976234
873,7107,0,0.0,0.0,32,1,0,0.12348837
6628,5793,0,0.0,0.0,72,1,0,0.25095627
3180,1915,0,0.0,0.0,114,1,0,0.35994762
5637,6014,0,0.0,0.0,62,1,0,0.2242767
1030,4251,0,0.0,0.0,16,1,0,0.07976234
1723,2708,0,0.0,0.0,32,1,0,0.12348837
6682,3850,0,0.0,0.0,130,1,0,0.39030674
112,2392,0,0.0,0.0,156,1,0,0.43459767
7122,3576,0,0.0,0.0,72,1,0,0.25095627
2197,4533,0,0.0,0.0,42,1,0,0.16027392
4381,4407,0,0.0,0.0,21,1,0,0.09163984
3258,288,0,0.0,0.0,189,1,0,0.47408688
4600,3009,0,0.0,0.0,14,1,0,0.075417444
1632,6321,0,0.0,0.0,108,1,0,0.34680948
577,6710,0,0.0,0.0,20,1,0,0.08914354
6045,2045,0,0.0,0.0,88,1,0,0.29394072
178,3717,0,0.0,0.0,79,1,0,0.27086636
6154,1343,0,0.0,0.0,84,1,0,0.28377318
3806,5334,0,0.0,0.0,42,1,0,0.16027392
197,5380,0,0.0,0.0,63,1,0,0.22685142
6741,973,1,0.05555555555555555,0.152948702070391,90,1,0,0.21799435
4464,2463,0,0.0,0.0,210,1,0,0.49941823
6530,434,0,0.0,0.0,196,1,0,0.4825223
234,4043,0,0.0,0.0,18,1,0,0.0843346
4001,2766,0,0.0,0.0,74,1,0,0.2565382
5015,5472,0,0.0,0.0,117,1,0,0.36659774
6548,4329,0,0.0,0.0,85,1,0,0.28629526
4411,5841,0,0.0,0.0,192,1,0,0.4777005
5415,6777,0,0.0,0.0,55,1,0,0.20683764
3799,2616,0,0.0,0.0,8,1,0,0.06365717
400,5049,0,0.0,0.0,63,1,0,0.22685142
1242,3255,0,0.0,0.0,4,1,0,0.056790743
4595,6234,0,0.0,0.0,210,1,0,0.49941823
4356,1077,0,0.0,0.0,28,1,0,0.11093289
3315,789,0,0.0,0.0,24,1,0,0.09950896
182,5124,0,0.0,0.0,117,1,0,0.36659774
2566,1935,0,0.0,0.0,20,1,0,0.08914354
6223,852,0,0.0,0.0,70,1,0,0.24545546
5589,113,0,0.0,0.0,200,1,0,0.4873473
4671,3608,0,0.0,0.0,52,1,0,0.19909246
2517,5815,0,0.0,0.0,35,1,0,0.13369006
6549,5834,0,0.0,0.0,44,1,0,0.16861594
6211,6930,0,0.0,0.0,140,1,0,0.40849587
187,1626,0,0.0,0.0,12,1,0,0.07129103
4110,6418,0,0.0,0.0,12,1,0,0.07129103
3824,5491,0,0.0,0.0,34,1,0,0.1302125
5538,2182,0,0.0,0.0,200,1,0,0.4873473
1116,6706,0,0.0,0.0,176,1,0,0.45846394
198,1783,0,0.0,0.0,72,1,0,0.25095627
1127,2028,0,0.0,0.0,21,1,0,0.09163984
6095,2727,0,0.0,0.0,18,1,0,0.0843346
120,3614,0,0.0,0.0,66,1,0,0.23470043
2668,3152,0,0.0,0.0,12,1,0,0.07129103
752,4767,0,0.0,0.0,162,1,0,0.4417309
4370,4938,0,0.0,0.0,90,1,0,0.2991036
6422,1422,0,0.0,0.0,144,1,0,0.4157673
4640,2838,0,0.0,0.0,135,1,0,0.39938042
6544,3877,0,0.0,0.0,12,1,0,0.07129103
5304,3901,0,0.0,0.0,63,1,0,0.22685142
4195,4706,0,0.0,0.0,10,1,0,0.06737377
7055,4637,0,0.0,0.0,124,1,0,0.37951818
2481,3144,0,0.0,0.0,186,1,0,0.4704759
368,2412,0,0.0,0.0,68,1,0,0.24003685
283,4723,0,0.0,0.0,72,1,0,0.25095627
5931,4052,0,0.0,0.0,192,1,0,0.4777005
1600,2249,0,0.0,0.0,68,1,0,0.24003685
3525,5395,0,0.0,0.0,8,1,0,0.06365717
5104,6973,0,0.0,0.0,96,1,0,0.31489792
1143,4884,0,0.0,0.0,171,1,0,0.45247507
6597,3022,0,0.0,0.0,144,1,0,0.4157673
6368,2175,0,0.0,0.0,204,1,0,0.49217466
4950,309,1,0.038461538461538464,0.17054278655205474,72,1,0,0.36167938
2320,6193,0,0.0,0.0,102,1,0,0.3311322
6064,5659,0,0.0,0.0,132,1,0,0.3939276
1760,1922,0,0.0,0.0,28,1,0,0.11093289
1062,1078,0,0.0,0.0,6,1,0,0.06013226
5296,1357,0,0.0,0.0,120,1,0,0.37239057
3532,3921,0,0.0,0.0,208,1,0,0.4970035
2820,5956,1,0.1111111111111111,0.15199298032191702,25,1,0,0.067697346
5591,432,0,0.0,0.0,44,1,0,0.16861594
4743,4167,0,0.0,0.0,180,1,0,0.46326372
2130,6590,0,0.0,0.0,110,1,0,0.3511641
4755,1493,0,0.0,0.0,48,1,0,0.18633185
6265,5680,0,0.0,0.0,6,1,0,0.06013226
6868,5841,0,0.0,0.0,128,1,0,0.38669804
680,5361,0,0.0,0.0,27,1,0,0.107973665
3646,2017,4,0.15384615384615385,0.7036202182691105,189,1,0,0.45814133
6245,4078,0,0.0,0.0,9,1,0,0.06549096
5228,1209,0,0.0,0.0,57,1,0,0.2117156
5594,5676,0,0.0,0.0,90,1,0,0.2991036
6237,1770,0,0.0,0.0,60,1,0,0.21918955
1600,236,0,0.0,0.0,51,1,0,0.19632122
3820,1045,0,0.0,0.0,105,1,0,0.33940595
6202,3563,0,0.0,0.0,168,1,0,0.4488883
1240,3239,0,0.0,0.0,20,1,0,0.08914354
4217,1404,0,0.0,0.0,126,1,0,0.38310167
6007,4255,0,0.0,0.0,96,1,0,0.31489792
6145,2420,0,0.0,0.0,72,1,0,0.25095627
7051,2004,0,0.0,0.0,112,1,0,0.3555436
6399,1978,0,0.0,0.0,168,1,0,0.4488883
1129,114,1,0.05555555555555555,0.16849500042276702,70,1,0,0.27640817
2922,4528,0,0.0,0.0,207,1,0,0.4957962
3448,388,0,0.0,0.0,172,1,0,0.45367172
82,5354,0,0.0,0.0,162,1,0,0.4417309
4349,1021,0,0.0,0.0,10,1,0,0.06737377
3349,5754,0,0.0,0.0,78,1,0,0.26794368
2016,4323,0,0.0,0.0,48,1,0,0.18633185
1129,687,0,0.0,0.0,42,1,0,0.16027392
2792,6545,0,0.0,0.0,30,1,0,0.11706486
5654,3259,0,0.0,0.0,81,1,0,0.2762886
233,1232,2,0.1111111111111111,0.34729605921912143,96,1,0,0.3577245
1040,1616,0,0.0,0.0,3,1,0,0.05518617
2197,1872,0,0.0,0.0,18,1,0,0.0843346
213,2101,0,0.0,0.0,68,1,0,0.24003685
5417,5723,0,0.0,0.0,140,1,0,0.40849587
928,4417,0,0.0,0.0,32,1,0,0.12348837
4979,1785,0,0.0,0.0,63,1,0,0.22685142
3371,6625,0,0.0,0.0,35,1,0,0.13369006
3706,6881,0,0.0,0.0,199,1,0,0.4861408
6780,6151,0,0.0,0.0,72,1,0,0.25095627
402,2975,0,0.0,0.0,80,1,0,0.27382088
1076,2048,0,0.0,0.0,11,1,0,0.06930674
11,2054,0,0.0,0.0,92,1,0,0.30431786
1186,1236,0,0.0,0.0,182,1,0,0.46566626
2641,6348,0,0.0,0.0,42,1,0,0.16027392
5389,509,0,0.0,0.0,136,1,0,0.40120384
790,1330,0,0.0,0.0,46,1,0,0.17730026
1955,6199,0,0.0,0.0,102,1,0,0.3311322
1316,4854,0,0.0,0.0,34,1,0,0.1302125
34,2803,0,0.0,0.0,44,1,0,0.16861594
5857,6671,0,0.0,0.0,35,1,0,0.13369006
121,3927,0,0.0,0.0,190,1,0,0.47529107
4607,3771,0,0.0,0.0,55,1,0,0.20683764
1527,2436,0,0.0,0.0,150,1,0,0.42646953
5214,3522,0,0.0,0.0,105,1,0,0.33940595
6925,2660,0,0.0,0.0,72,1,0,0.25095627
1484,5534,1,0.07142857142857142,0.18085049725270286,26,1,0,0.26072073
6816,4235,1,0.058823529411764705,0.17769497622489946,81,1,0,0.3325823
2150,4534,0,0.0,0.0,24,1,0,0.09950896
3731,2305,0,0.0,0.0,129,1,0,0.38850084
6597,1284,0,0.0,0.0,56,1,0,0.2092662
4796,5411,0,0.0,0.0,96,1,0,0.31489792
4628,1809,0,0.0,0.0,125,1,0,0.38130826
5589,1415,0,0.0,0.0,104,1,0,0.33663684
6225,6268,0,0.0,0.0,10,1,0,0.06737377
4945,1695,0,0.0,0.0,207,1,0,0.4957962
5183,5296,0,0.0,0.0,192,1,0,0.4777005
5389,159,0,0.0,0.0,204,1,0,0.49217466
1226,4515,0,0.0,0.0,147,1,0,0.42124537
2715,6848,0,0.0,0.0,42,1,0,0.16027392
2882,2675,0,0.0,0.0,154,1,0,0.4321967
1442,5111,0,0.0,0.0,168,1,0,0.4488883
5855,4311,0,0.0,0.0,9,1,0,0.06549096
2784,5103,0,0.0,0.0,90,1,0,0.2991036
1514,4063,0,0.0,0.0,10,1,0,0.06737377
1678,6014,0,0.0,0.0,124,1,0,0.37951818
150,4373,0,0.0,0.0,46,1,0,0.17730026
2536,4925,0,0.0,0.0,55,1,0,0.20683764
877,3887,0,0.0,0.0,103,1,0,0.33387882
3138,2072,0,0.0,0.0,140,1,0,0.40849587
3377,837,0,0.0,0.0,176,1,0,0.45846394
6755,6487,0,0.0,0.0,64,1,0,0.22944695
7069,2771,0,0.0,0.0,146,1,0,0.41941714
5724,3069,0,0.0,0.0,72,1,0,0.25095627
425,6419,0,0.0,0.0,24,1,0,0.09950896
5448,4075,0,0.0,0.0,135,1,0,0.39938042
3574,3828,0,0.0,0.0,182,1,0,0.46566626
2740,2286,0,0.0,0.0,193,1,0,0.4789056
949,7125,0,0.0,0.0,48,1,0,0.18633185
7054,3128,0,0.0,0.0,84,1,0,0.28377318
3509,2615,1,0.09090909090909091,0.17054278655205474,35,1,0,0.16224894
3097,1780,0,0.0,0.0,64,1,0,0.22944695
1595,5832,0,0.0,0.0,72,1,0,0.25095627
2769,5672,0,0.0,0.0,120,1,0,0.37239057
2662,3521,0,0.0,0.0,8,1,0,0.06365717
196,2778,0,0.0,0.0,54,1,0,0.20442998
5995,592,0,0.0,0.0,120,1,0,0.37239057
2321,7097,0,0.0,0.0,152,1,0,0.4297416
2137,3379,0,0.0,0.0,140,1,0,0.40849587
3661,3234,0,0.0,0.0,18,1,0,0.0843346
5130,6432,0,0.0,0.0,27,1,0,0.107973665
1515,484,0,0.0,0.0,98,1,0,0.32026172
2185,4335,0,0.0,0.0,88,1,0,0.29394072
2484,1933,0,0.0,0.0,70,1,0,0.24545546
5721,3874,1,0.03571428571428571,0.16849500042276702,138,1,0,0.47949085
4036,2555,0,0.0,0.0,68,1,0,0.24003685
2832,2158,0,0.0,0.0,189,1,0,0.47408688
6536,910,0,0.0,0.0,56,1,0,0.2092662
5982,2053,0,0.0,0.0,26,1,0,0.105084054
4920,6435,0,0.0,0.0,48,1,0,0.18633185
193,1880,0,0.0,0.0,12,1,0,0.07129103
6972,7071,0,0.0,0.0,8,1,0,0.06365717
6588,4108,0,0.0,0.0,51,1,0,0.19632122
5765,1517,1,0.0625,0.18891789404024137,72,1,0,0.3852956
5776,3522,0,0.0,0.0,60,1,0,0.21918955
1608,7020,0,0.0,0.0,30,1,0,0.11706486
3740,5651,0,0.0,0.0,39,1,0,0.14839143
4239,6763,0,0.0,0.0,70,1,0,0.24545546
1123,6555,0,0.0,0.0,12,1,0,0.07129103
4146,5748,2,0.09090909090909091,0.3366905707010744,135,1,0,0.43980208
6550,7012,0,0.0,0.0,36,1,0,0.13724567
1836,1094,0,0.0,0.0,192,1,0,0.4777005
5465,6909,0,0.0,0.0,54,1,0,0.20442998
2067,5712,0,0.0,0.0,24,1,0,0.09950896
1652,3844,0,0.0,0.0,4,1,0,0.056790743
5888,4817,0,0.0,0.0,84,1,0,0.28377318
5624,3010,0,0.0,0.0,42,1,0,0.16027392
2691,4255,0,0.0,0.0,32,1,0,0.12348837
583,4476,0,0.0,0.0,8,1,0,0.06365717
559,2792,0,0.0,0.0,90,1,0,0.2991036
2181,6350,0,0.0,0.0,14,1,0,0.075417444
753,5181,0,0.0,0.0,32,1,0,0.12348837
4444,584,0,0.0,0.0,182,1,0,0.46566626
5833,2116,0,0.0,0.0,175,1,0,0.45726517
2392,380,0,0.0,0.0,144,1,0,0.4157673
4403,2095,0,0.0,0.0,16,1,0,0.07976234
2323,903,0,0.0,0.0,25,1,0,0.10226297
6588,800,0,0.0,0.0,85,1,0,0.28629526
5085,347,0,0.0,0.0,15,1,0,0.07756196
1414,6342,0,0.0,0.0,113,1,0,0.35774276
4370,6630,0,0.0,0.0,45,1,0,0.17291498
5051,4699,0,0.0,0.0,75,1,0,0.25935948
1598,313,0,0.0,0.0,167,1,0,0.4476938
6981,1051,0,0.0,0.0,90,1,0,0.2991036
2601,6247,0,0.0,0.0,6,1,0,0.06013226
2262,2199,0,0.0,0.0,101,1,0,0.32839713
5289,5967,0,0.0,0.0,12,1,0,0.07129103
4265,4045,0,0.0,0.0,76,1,0,0.26220104
4008,1506,0,0.0,0.0,104,1,0,0.33663684
2284,4642,0,0.0,0.0,80,1,0,0.27382088
5366,3724,0,0.0,0.0,190,1,0,0.47529107
6424,3720,0,0.0,0.0,52,1,0,0.19909246
940,2766,0,0.0,0.0,4,1,0,0.056790743
1795,3015,0,0.0,0.0,108,1,0,0.34680948
7051,5458,0,0.0,0.0,182,1,0,0.46566626
26,6669,0,0.0,0.0,182,1,0,0.46566626
